hum_prot,hum_prot_name,study_name,bacterial_cluster,bacterial_gene_names,phylum,class,order,family,genus,species
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_salivarius
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_gordonii
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_sanguinis
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_pseudopneumoniae
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_sp_F0442
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_sp_HMSC070B10
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_cristatus
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_parasanguinis
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Bacillales,f__Listeriaceae,g__Brochothrix,s__Brochothrix_thermosphacta
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Terrisporobacter,s__Terrisporobacter_othiniensis
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_salivarius
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Pediococcus,s__Pediococcus_acidilactici
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_fermentum
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_oris
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Clostridioides,s__Clostridioides_difficile
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__Enterococcus_faecium
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__Enterococcus_durans
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__Enterococcus_faecium
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_sakei
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_curvatus
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_delbrueckii
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_pontis
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__Lactococcus_lactis
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_rhamnosus
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__Enterococcus_faecalis
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__Enterococcus_faecium
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_agalactiae
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Erysipelatoclostridium,s__Clostridium_spiroforme
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Coprobacillus,s__Coprobacillus_cateniformis
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Fusobacterium,s__Fusobacterium_ulcerans
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_delbrueckii
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Lactococcus,s__Lactococcus_lactis
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_amylovorus
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_acidophilus
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_mucosae
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_saerimneri
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium,s__Clostridium_disporicum
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_vaginalis
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_oris
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Anaerococcus,s__Anaerococcus_vaginalis
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_anginosus_group
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Peptostreptococcus,s__Peptostreptococcus_stomatis
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillales_unclassified,g__Gemella,s__Gemella_morbillorum
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Erysipelotrichia,o__Erysipelotrichales,f__Erysipelotrichaceae,g__Holdemania,s__Holdemania_filiformis
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__Enterococcus_casseliflavus
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Enterococcaceae,g__Enterococcus,s__Enterococcus_faecium
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_plantarum
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_pentosus
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_plantarum
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_paraplantarum
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Clostridia,o__Clostridiales,f__Peptostreptococcaceae,g__Peptostreptococcaceae_unclassified,s__Clostridium_hiranonis
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_rhamnosus
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus_epidermidis
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Bacillales,f__Staphylococcaceae,g__Staphylococcus,s__Staphylococcus_aureus
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Tissierellia,o__Tissierellales,f__Peptoniphilaceae,g__Anaerococcus,s__Anaerococcus_lactolyticus
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_reuteri
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_animalis
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_pentosus
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_plantarum
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_pantheris
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Fusobacteria,c__Fusobacteriia,o__Fusobacteriales,f__Fusobacteriaceae,g__Cetobacterium,s__Cetobacterium_somerae
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_agalactiae
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Leuconostocaceae,g__Weissella,s__Weissella_viridescens
P07355,{'ANXA2 ANX2 ANX2L4 CAL1H LPC2D'},FranzosaEA_2019,UniRef50_O34153,['glpK LCA_0649' 'glpK BcerKBAB4_0948' nan],p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Leuconostocaceae,g__Weissella,s__Weissella_viridescens
P17844,{'DDX5 G17P1 HELR HLR1'},FranzosaEA_2019,UniRef50_B5RCP1,['gltX Xfasm12_2028' 'gltX YPDSF_2092' nan],p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__Haemophilus_parainfluenzae
P17844,{'DDX5 G17P1 HELR HLR1'},FranzosaEA_2019,UniRef50_B5RCP1,['gltX Xfasm12_2028' 'gltX YPDSF_2092' nan],p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__Haemophilus_sp_HMSC71H05
P17844,{'DDX5 G17P1 HELR HLR1'},FranzosaEA_2019,UniRef50_B5RCP1,['gltX Xfasm12_2028' 'gltX YPDSF_2092' nan],p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Aggregatibacter,s__Aggregatibacter_segnis
P17844,{'DDX5 G17P1 HELR HLR1'},FranzosaEA_2019,UniRef50_B5RCP1,['gltX Xfasm12_2028' 'gltX YPDSF_2092' nan],p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__Haemophilus_parainfluenzae
P17844,{'DDX5 G17P1 HELR HLR1'},FranzosaEA_2019,UniRef50_B5RCP1,['gltX Xfasm12_2028' 'gltX YPDSF_2092' nan],p__Proteobacteria,c__Gammaproteobacteria,o__Pasteurellales,f__Pasteurellaceae,g__Haemophilus,s__Haemophilus_haemolyticus
P17844,{'DDX5 G17P1 HELR HLR1'},FranzosaEA_2019,UniRef50_B5RCP1,['gltX Xfasm12_2028' 'gltX YPDSF_2092' nan],p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Citrobacter,s__Citrobacter_portucalensis
P17844,{'DDX5 G17P1 HELR HLR1'},FranzosaEA_2019,UniRef50_B5RCP1,['gltX Xfasm12_2028' 'gltX YPDSF_2092' nan],p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia_coli
P17844,{'DDX5 G17P1 HELR HLR1'},FranzosaEA_2019,UniRef50_B5RCP1,['gltX Xfasm12_2028' 'gltX YPDSF_2092' nan],p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Citrobacter,s__Citrobacter_freundii
P17844,{'DDX5 G17P1 HELR HLR1'},FranzosaEA_2019,UniRef50_B5RCP1,['gltX Xfasm12_2028' 'gltX YPDSF_2092' nan],p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Citrobacter,s__Citrobacter_youngae
P17844,{'DDX5 G17P1 HELR HLR1'},FranzosaEA_2019,UniRef50_B5RCP1,['gltX Xfasm12_2028' 'gltX YPDSF_2092' nan],p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Klebsiella,s__Klebsiella_variicola
P17844,{'DDX5 G17P1 HELR HLR1'},FranzosaEA_2019,UniRef50_B5RCP1,['gltX Xfasm12_2028' 'gltX YPDSF_2092' nan],p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Klebsiella,s__Klebsiella_pneumoniae
P17844,{'DDX5 G17P1 HELR HLR1'},FranzosaEA_2019,UniRef50_B5RCP1,['gltX Xfasm12_2028' 'gltX YPDSF_2092' nan],p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Citrobacter,s__Citrobacter_amalonaticus
P17844,{'DDX5 G17P1 HELR HLR1'},FranzosaEA_2019,UniRef50_B5RCP1,['gltX Xfasm12_2028' 'gltX YPDSF_2092' nan],p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Escherichia,s__Escherichia_marmotae
P17844,{'DDX5 G17P1 HELR HLR1'},FranzosaEA_2019,UniRef50_B5RCP1,['gltX Xfasm12_2028' 'gltX YPDSF_2092' nan],p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Kosakonia,s__Kosakonia_pseudosacchari
P17844,{'DDX5 G17P1 HELR HLR1'},FranzosaEA_2019,UniRef50_B5RCP1,['gltX Xfasm12_2028' 'gltX YPDSF_2092' nan],p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Klebsiella,s__Klebsiella_quasipneumoniae
P17844,{'DDX5 G17P1 HELR HLR1'},FranzosaEA_2019,UniRef50_B5RCP1,['gltX Xfasm12_2028' 'gltX YPDSF_2092' nan],p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Enterobacteriaceae,g__Citrobacter,s__Citrobacter_farmeri
