ID,bacteria,isolate,link,Tax ID
622,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 5,T07161,https://www.genome.jp/dbget-bin/get_linkdb?-t+genes+gn:T07161,
622,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 5,T08965,https://www.genome.jp/dbget-bin/get_linkdb?-t+genes+gn:T08965,
638,Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI;Peptoniphilus,,,
638,Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI;Peptoniphilus,T03807,https://www.genome.jp/dbget-bin/get_linkdb?-t+genes+gn:T03807,
638,Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI;Peptoniphilus,T05838,https://www.genome.jp/dbget-bin/get_linkdb?-t+genes+gn:T05838,
638,Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI;Peptoniphilus,T06636,https://www.genome.jp/dbget-bin/get_linkdb?-t+genes+gn:T06636,
638,Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI;Peptoniphilus,T09392,https://www.genome.jp/dbget-bin/get_linkdb?-t+genes+gn:T09392,
638,Bacteria;Firmicutes;Clostridia;Clostridiales;Family XI;Peptoniphilus,,,
691,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 6,,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&locale=en&serv=gn&dbkey=alldb&keywords=Ruminiclostridium+6&page=1,
691,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 6,T07161,https://www.genome.jp/dbget-bin/get_linkdb?-t+genes+gn:T07161,2488810
691,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminiclostridium 6,T08965,https://www.genome.jp/dbget-bin/get_linkdb?-t+genes+gn:T08965,588581
787,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG 014,,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&locale=en&serv=gn&dbkey=alldb&keywords=Ruminococcaceae&page=1,
787,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Ruminococcaceae UCG 014,T04880,https://www.genome.jp/dbget-bin/get_linkdb?-t+genes+gn:T04880,1572656
688,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus,,https://www.genome.jp/dbget-bin/www_bfind_sub?mode=bfind&max_hit=1000&locale=en&serv=gn&dbkey=alldb&keywords=Anaerotruncus&page=1,
688,Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Anaerotruncus,T08068,https://www.genome.jp/dbget-bin/get_linkdb?-t+genes+gn:T08068,169435
